,redeem_status,name,bonus,cumulativevalue,netvalue,fund_id,daily_growth_rate,apply_status,netvalue_date
4871,场内卖出,易方达货币E,,0.9875,0.9875,511800,3.5430%,场内买入,2018-03-22
4872,场内卖出,华泰紫金天天金交易型货币A,,1.1568,1.1568,511670,3.9790%,场内买入,2018-03-27
4873,场内卖出,华泰紫金天天金交易型货币A,,1.1147,1.1147,511670,3.9130%,场内买入,2018-03-26
4874,场内卖出,华泰紫金天天金交易型货币A,,2.1164,2.1164,511670,3.8700%,场内买入,2018-03-25
4875,场内卖出,华泰紫金天天金交易型货币A,,1.0567,1.0567,511670,3.8190%,场内买入,2018-03-23
4876,场内卖出,华泰紫金天天金交易型货币A,,1.0495,1.0495,511670,3.7940%,场内买入,2018-03-22
4877,场内卖出,华泰紫金天天金交易型货币A,,0.9902,0.9902,511670,3.7760%,场内买入,2018-03-21
4878,场内卖出,招商财富宝交易型货币E,,1.2304,1.2304,511850,4.5640%,场内买入,2018-03-19
4879,场内卖出,招商财富宝交易型货币E,,2.4628,2.4628,511850,4.5580%,场内买入,2018-03-18
4880,场内卖出,招商财富宝交易型货币E,,1.2323,1.2323,511850,4.5510%,场内买入,2018-03-16
4881,场内卖出,金鹰增益货币E,,1.0970,1.097,511770,4.0270%,场内买入,2018-03-22
4882,场内卖出,金鹰增益货币E,,1.0900,1.09,511770,4.0070%,场内买入,2018-03-21
4883,场内卖出,金鹰增益货币E,,1.0827,1.0827,511770,3.9870%,场内买入,2018-03-20
4884,场内卖出,金鹰增益货币E,,1.0820,1.082,511770,3.9810%,场内买入,2018-03-19
4885,场内卖出,金鹰增益货币E,,1.0733,1.0733,511770,3.9730%,场内买入,2018-03-18
4886,场内卖出,德邦现金宝E,,0.3347,0.3347,511760,0.9500%,暂停申购,2018-01-18
4887,场内卖出,德邦现金宝E,,0.2445,0.2445,511760,0.9160%,暂停申购,2018-01-17
4888,场内卖出,德邦现金宝E,,0.2437,0.2437,511760,1.0280%,暂停申购,2018-01-16
4889,场内卖出,德邦现金宝E,,0.2430,0.243,511760,1.1450%,暂停申购,2018-01-15
4890,场内卖出,易方达货币E,,0.9047,0.9047,511800,3.3910%,场内买入,2018-03-21
4891,场内卖出,易方达货币E,,0.8818,0.8818,511800,3.2580%,场内买入,2018-03-20
4892,场内卖出,易方达货币E,,0.8790,0.879,511800,3.1400%,场内买入,2018-03-19
4893,场内卖出,易方达货币E,,2.3913,2.3913,511800,3.0690%,场内买入,2018-03-18
4894,场内卖出,易方达货币E,,0.6333,0.6333,511800,3.0520%,场内买入,2018-03-16
4895,场内卖出,华泰紫金天天金交易型货币A,,1.0349,1.0349,511670,3.7770%,场内买入,2018-03-20
4896,场内卖出,华泰紫金天天金交易型货币A,,1.0339,1.0339,511670,3.7160%,场内买入,2018-03-19
4897,场内卖出,华泰紫金天天金交易型货币A,,2.0233,2.0233,511670,3.6580%,场内买入,2018-03-18
4898,场内卖出,华泰紫金天天金交易型货币A,,1.0103,1.0103,511670,3.5570%,场内买入,2018-03-16
4899,场内卖出,建信现金添益货币H,,1.1503,1.1503,511660,4.3110%,场内买入,2018-03-27
4900,场内卖出,建信现金添益货币H,,1.1606,1.1606,511660,4.3090%,场内买入,2018-03-26
4901,场内卖出,建信现金添益货币H,,1.1529,1.1529,511660,4.3070%,场内买入,2018-03-25
4902,场内卖出,建信现金添益货币H,,1.1530,1.153,511660,4.3050%,场内买入,2018-03-24
4903,场内卖出,建信现金添益货币H,,1.1533,1.1533,511660,4.3030%,场内买入,2018-03-23
4904,场内卖出,华夏快线交易型货币,,1.8934,1.8934,511650,4.3630%,场内买入,2018-03-27
4905,场内卖出,华夏快线交易型货币,,0.9555,0.9555,511650,4.8770%,场内买入,2018-03-26
4906,场内卖出,华夏快线交易型货币,,2.0326,2.0326,511650,4.9540%,场内买入,2018-03-25
4907,场内卖出,华夏快线交易型货币,,1.0682,1.0682,511650,5.0540%,场内买入,2018-03-23
4908,场内卖出,华夏快线交易型货币,,1.1175,1.1175,511650,5.0710%,场内买入,2018-03-22
4909,场内卖出,建信现金添益货币H,,1.1570,1.157,511660,4.3010%,场内买入,2018-03-22
4910,场内卖出,建信现金添益货币H,,1.1678,1.1678,511660,4.2930%,场内买入,2018-03-21
4911,场内卖出,建信现金添益货币H,,1.1475,1.1475,511660,4.2850%,场内买入,2018-03-20
